WMFFL Scoring History
Werewolves
,,Player/Week,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,Tot
RB,2714,Davis,6*,8 ,0b,19*,14*,5*,0*,25*,9*,0*,11*,6*,5*,8*,2*,118
RB,3910,Faulk,2 ,2 ,3 ,-2 ,0 ,3 ,-1*,11x,2x,0b,0x,16x,0x,-2x,0x,34
RB,3868,James,2*,12*,4*,0*,0*,0 ,0b,4*,11*,3*,30*,20*,11*,16*,5*,118
RB,5656,Jones,0x,0x,-2x,0b,0x,0x,-2x,0x,0x,0x,8 ,6 ,6 ,4 ,13 ,33
RB,1778,Martin,0 ,0*,2*,4 ,0b,1 ,2 ,5 ,2 ,0 ,7 ,7 ,7 ,4 ,16 ,57
RB,5815,Morton,0 ,0x,0x,0x,0x,0x,0x,0b,0x,0x,0x,0x,12x,0x,-2x,10
RB,6777,Williams,0x,0x,0x,7x,18 ,-4*,0b,0x,0x,1x,0x,0x,0x,0x,0x,22
WR,5175,Bennett,0x,0x,15x,6x,0 ,0 ,9 ,0 ,0b,0x,0x,0x,0x,0x,0x,30
WR,4935,Ferguson,2 ,6 ,0 ,0 ,0x,0x,0x,0b,0x,0x,0x,6x,0x,4x,12x,30
WR,2649,Harrison,5*,6*,0*,29*,30 ,10*,0b,8*,0*,6*,0 ,2 ,11*,12*,18*,137
WR,1507,Morton,6x,0x,0x,5x,6x,12 ,0*,0 ,0b,6 ,6 ,0 ,0 ,0 ,0 ,41
WR,6521,Stallworth,8 ,6 ,-2 ,0 ,0x,-4x,6x,0x,0x,0b,0x,0x,0x,0x,0x,14
WR,5659,Taylor,7 ,0x,0x,0x,0b,0x,19x,0x,0x,0x,0x,0x,0x,2x,0x,28
WR,3367,Ward,20*,14*,6*,6*,0*,7*,0b,16*,12*,14*,0*,0*,23*,0*,1*,119
WR,5653,Warrick,0x,15 ,6 ,2 ,2*,0b,4*,6 ,9 ,0 ,26*,0*,1 ,14 ,8 ,93
TE,3330,Alexander,0 ,0x,0x,0x,0x,0b,0x,0x,0x,0x,2x,0x,0x,0x,0x,2
TE,5676,Becht,1x,1x,-1x,0x,0b,13x,1x,1x,8x,2x,0x,2x,0*,0*,1*,29
TE,1827,Fauria,0x,13x,1x,1x,1x,0x,1x,0*,1x,0b,1x,0x,2x,0x,0x,21
TE,5663,Franks,3*,1*,1*,7*,1*,6*,2*,0b,0*,0*,0*,0*,8x,2x,0x,31
K ,5822,Edinger,1x,9x,0b,12x,13x,7x,12x,6x,8 ,5*,3*,16 ,4 ,3 ,7 ,106
